Usuario,Ordenador,ID,Tipo de sesión,Grupo,Inicio,Final,Duración,Moneda,Tarifa,Facturación,Notas
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 14:45","2025-10-09 15:33","49","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 14:41","2025-10-09 14:45","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 14:36","2025-10-09 14:40","4","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 14:28","2025-10-09 14:32","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 14:13","2025-10-09 14:27","14","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 12:21","2025-10-09 14:10","110","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 12:13","2025-10-09 12:21","8","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 11:18","2025-10-09 11:28","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 11:16","2025-10-09 11:18","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 11:14","2025-10-09 11:18","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 10:59","2025-10-09 11:16","17","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1039318853","Control remoto","Dispositivos sin nombre","2025-10-09 10:19","2025-10-09 10:56","38","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1039318853","Control remoto","Dispositivos sin nombre","2025-10-09 10:00","2025-10-09 10:15","16","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","324330982","Control remoto","Dispositivos sin nombre","2025-10-09 09:42","2025-10-09 11:00","79","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-08 15:39","2025-10-08 18:20","161","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-08 15:37","2025-10-08 15:37","1","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-08 14:07","2025-10-08 15:36","90","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-08 13:24","2025-10-08 14:00","37","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-08 11:38","2025-10-08 13:20","103","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-07 16:47","2025-10-07 17:36","50","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","822134444","Control remoto","Dispositivos sin nombre","2025-10-07 13:42","2025-10-07 14:54","72","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","297632834","Control remoto","Dispositivos sin nombre","2025-10-07 12:22","2025-10-07 15:13","171","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-10-07 12:21","2025-10-07 16:30","250","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1333013789","Control remoto","Dispositivos sin nombre","2025-10-07 11:33","2025-10-07 17:53","381","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1333013789","Control remoto","Dispositivos sin nombre","2025-10-07 11:07","2025-10-07 11:16","9","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-10-06 20:16","2025-10-06 20:30","14","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-10-06 20:13","2025-10-06 20:30","17","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-10-06 19:54","2025-10-06 20:13","20","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","382394530","Control remoto","Dispositivos sin nombre","2025-10-06 15:45","2025-10-06 16:15","30","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","575823200","Control remoto","Dispositivos sin nombre","2025-10-06 14:36","2025-10-06 15:03","27","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","575823200","Control remoto","Dispositivos sin nombre","2025-10-06 14:24","2025-10-06 14:24","1","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1665410169","Control remoto","Dispositivos sin nombre","2025-10-06 14:03","2025-10-06 15:43","100","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","959441058","Control remoto","Dispositivos sin nombre","2025-10-06 12:19","2025-10-06 12:36","18","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","382394530","Control remoto","Dispositivos sin nombre","2025-10-02 20:19","2025-10-02 21:25","67","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1704862743","Control remoto","Dispositivos sin nombre","2025-10-02 19:49","2025-10-02 22:24","156","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","642388553","Control remoto","Dispositivos sin nombre","2025-10-02 17:10","2025-10-02 18:00","51","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","642388553","Control remoto","Dispositivos sin nombre","2025-10-02 17:10","2025-10-02 17:10","1","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","959441058","Control remoto","Dispositivos sin nombre","2025-10-02 11:12","2025-10-02 13:30","139","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-10-02 10:57","2025-10-02 17:53","416","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1010344064","Control remoto","Dispositivos sin nombre","2025-10-02 10:50","2025-10-02 10:56","6","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","959441058","Control remoto","Dispositivos sin nombre","2025-10-02 09:24","2025-10-02 09:52","28","None","0,00","Factura",""
"MDC - CAD/CAM","Gamer","1678763520","Control remoto","MDC","2025-10-01 16:45","2025-10-01 17:02","17","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1640926928","Control remoto","Dispositivos sin nombre","2025-10-01 15:27","2025-10-01 15:53","26","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","423259589","Control remoto","Dispositivos sin nombre","2025-10-01 12:31","2025-10-01 17:33","302","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1640926928","Control remoto","Dispositivos sin nombre","2025-10-01 11:55","2025-10-01 12:04","9","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1640926928","Control remoto","Dispositivos sin nombre","2025-10-01 11:14","2025-10-01 11:55","41","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-10-01 11:00","2025-10-01 17:50","410","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1640926928","Control remoto","Dispositivos sin nombre","2025-10-01 10:35","2025-10-01 11:07","32","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","341637656","Control remoto","Dispositivos sin nombre","2025-10-01 08:20","2025-10-01 11:58","218","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-30 18:02","2025-09-30 18:07","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","341637656","Control remoto","Dispositivos sin nombre","2025-09-30 17:35","2025-09-30 17:51","16","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1078923502","Control remoto","Dispositivos sin nombre","2025-09-30 16:39","2025-09-30 16:43","4","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","423259589","Control remoto","Dispositivos sin nombre","2025-09-30 16:30","2025-09-30 17:27","57","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1078923502","Control remoto","Dispositivos sin nombre","2025-09-30 16:29","2025-09-30 17:26","58","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-30 16:18","2025-09-30 18:01","103","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","423259589","Control remoto","Dispositivos sin nombre","2025-09-30 15:57","2025-09-30 16:28","31","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","101513946","Control remoto","Dispositivos sin nombre","2025-09-30 15:13","2025-09-30 15:19","7","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1641959545","Control remoto","Dispositivos sin nombre","2025-09-29 17:41","2025-09-29 18:08","28","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","341637656","Control remoto","Dispositivos sin nombre","2025-09-29 16:42","2025-09-29 18:09","88","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","652129446","Control remoto","Dispositivos sin nombre","2025-09-29 14:29","2025-09-29 16:02","93","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","652129446","Control remoto","Dispositivos sin nombre","2025-09-29 14:19","2025-09-29 14:24","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","652129446","Control remoto","Dispositivos sin nombre","2025-09-29 13:20","2025-09-29 14:18","59","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","341637656","Control remoto","Dispositivos sin nombre","2025-09-29 12:44","2025-09-29 16:36","233","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","658071181","Control remoto","Dispositivos sin nombre","2025-09-25 10:56","2025-09-25 12:20","85","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1622052514","Control remoto","Dispositivos sin nombre","2025-09-24 22:29","2025-09-24 23:19","50","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1622052514","Control remoto","Dispositivos sin nombre","2025-09-24 22:20","2025-09-24 22:25","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1622052514","Control remoto","Dispositivos sin nombre","2025-09-24 21:55","2025-09-24 22:18","24","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1622052514","Control remoto","Dispositivos sin nombre","2025-09-24 21:46","2025-09-24 21:54","8","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1078923502","Control remoto","Dispositivos sin nombre","2025-09-24 14:34","2025-09-24 14:54","20","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1851381575","Control remoto","Dispositivos sin nombre","2025-09-24 13:59","2025-09-24 14:02","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1224733574","Control remoto","Dispositivos sin nombre","2025-09-24 13:41","2025-09-24 15:03","83","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1284275489","Control remoto","Dispositivos sin nombre","2025-09-24 13:32","2025-09-24 14:00","29","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1224733574","Control remoto","Dispositivos sin nombre","2025-09-24 13:23","2025-09-24 13:40","17","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1643579493","Control remoto","Dispositivos sin nombre","2025-09-24 12:31","2025-09-24 15:07","156","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1643579493","Control remoto","Dispositivos sin nombre","2025-09-24 12:19","2025-09-24 13:24","66","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","820798910","Control remoto","Dispositivos sin nombre","2025-09-24 11:01","2025-09-24 11:11","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-09-24 11:01","2025-09-24 12:41","101","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","573282807","Control remoto","Dispositivos sin nombre","2025-09-24 11:00","2025-09-24 12:25","85","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-09-24 10:59","2025-09-24 11:00","2","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1425362077","Control remoto","Dispositivos sin nombre","2025-09-24 10:54","2025-09-24 10:56","2","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","573282807","Control remoto","Dispositivos sin nombre","2025-09-24 10:09","2025-09-24 10:57","48","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1665410169","Control remoto","Dispositivos sin nombre","2025-09-23 16:14","2025-09-23 17:03","50","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1058442998","Control remoto","Dispositivos sin nombre","2025-09-23 15:58","2025-09-23 17:10","73","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1508066056","Control remoto","Dispositivos sin nombre","2025-09-23 14:20","2025-09-23 17:58","218","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1508066056","Control remoto","Dispositivos sin nombre","2025-09-23 14:06","2025-09-23 14:18","13","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1439813438","Control remoto","Dispositivos sin nombre","2025-09-23 13:58","2025-09-23 17:58","240","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1439813438","Control remoto","Dispositivos sin nombre","2025-09-23 13:42","2025-09-23 13:57","15","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1439813438","Control remoto","Dispositivos sin nombre","2025-09-23 13:25","2025-09-23 13:40","15","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1058442998","Control remoto","Dispositivos sin nombre","2025-09-23 13:25","2025-09-23 14:33","68","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1508066056","Control remoto","Dispositivos sin nombre","2025-09-23 13:22","2025-09-23 14:05","43","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1058442998","Control remoto","Dispositivos sin nombre","2025-09-23 13:12","2025-09-23 13:24","13","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1140316017","Control remoto","Dispositivos sin nombre","2025-09-23 11:59","2025-09-23 13:06","67","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","297632834","Control remoto","Dispositivos sin nombre","2025-09-23 11:58","2025-09-23 12:18","20","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 11:31","2025-09-23 17:18","347","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 11:21","2025-09-23 11:30","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","542018959","Control remoto","Dispositivos sin nombre","2025-09-23 11:14","2025-09-23 11:26","13","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","731921228","Control remoto","Dispositivos sin nombre","2025-09-23 11:11","2025-09-23 11:13","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 11:10","2025-09-23 11:20","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 10:59","2025-09-23 11:09","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","413708683","Control remoto","Dispositivos sin nombre","2025-09-23 10:50","2025-09-23 11:21","32","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 10:46","2025-09-23 10:58","13","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 10:19","2025-09-23 10:43","24","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-23 09:41","2025-09-23 10:19","38","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","575823200","Control remoto","Dispositivos sin nombre","2025-09-22 17:17","2025-09-22 17:21","4","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-22 17:02","2025-09-22 17:57","55","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","820433866","Control remoto","Dispositivos sin nombre","2025-09-22 16:49","2025-09-22 17:57","68","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","810831203","Control remoto","Dispositivos sin nombre","2025-09-22 16:41","2025-09-22 16:43","2","None","0,00","Factura",""
